"","OBJECTID","TRAPTYPE","ATTRACTANT","TRAPID","LATITUDE","LONGITUDE","ADDRESS","TOWN","STATE","COUNTY","TRAPSITE","TRAPSET","SETTIMEOFD","TRAPCOLLEC","COLLECTTIM","GENUS","SPECIES","LIFESTAGE","EGGSCOLLEC","LARVAECOLL","PUPAECOLLE","FEMALESCOL","MALESCOLLE","UNKNOWNCOL","REPORTDATE"
"1",90,"ABC Trap","CO2 with light","8A",38.864642,-76.985929,"2105 14th St. SE","Washington","DC","District of Columbia","Fire Department","2017-09-06T00:00:00.000Z","Morning","2017-09-07T00:00:00.000Z","Afternoon","Aedes","aegypti","Adult","No","No","No",6,1,0,"2017-09-11T18:18:00.000Z"
"2",91,"Gravid Trap","Lure and grass infusion","8B",38.831034,-77.005391,"101 Atlantic St. SE","Washington","DC","District of Columbia","Fire Department","2017-09-06T00:00:00.000Z","Morning","2017-09-07T00:00:00.000Z","Afternoon","Aedes","albopictus","Adult","No","No","No",2,0,0,"2017-09-11T18:20:00.000Z"
"3",92,"ABC Trap","CO2 with light","1B",38.921453,-77.01448,"310 McMillan Dr. NW","Washington","DC","District of Columbia","Industrial","2017-05-03T00:00:00.000Z","Morning","2017-05-04T00:00:00.000Z","Morning","Culex","pipiens","Adult","No","No","No",2,0,0,"2017-09-11T18:29:00.000Z"
"5",94,"ABC Trap","CO2 with light","2A",38.907205,-77.053968,"2425 N St. NW","Washington","DC","District of Columbia","School","2017-05-03T00:00:00.000Z","Afternoon","2017-05-04T00:00:00.000Z","Morning","Culex","pipiens","Adult","No","No","No",12,0,0,"2017-09-11T18:47:00.000Z"
"6",95,"Gravid Trap","Hay or grass infusion","3B",38.937768,-77.096815,"3645 49th St. NW","Washington","DC","District of Columbia","Urban Public Place","2017-05-03T00:00:00.000Z","Morning","2017-05-04T00:00:00.000Z","Afternoon","Culex","pipiens","Adult","No","No","No",12,0,0,"2017-09-12T15:18:00.000Z"
"8",97,"ABC Trap","CO2 with light","4A",38.971088,-77.029901,"6625 13th St. NW","Washington","DC","District of Columbia","Urban Public Place","2017-05-03T00:00:00.000Z","Morning","2017-05-04T00:00:00.000Z","Afternoon","Culex","pipiens","Adult","No","No","No",9,0,0,"2017-09-11T18:52:00.000Z"
"9",98,"Gravid Trap","Hay or grass infusion","5A",38.920896,-76.967042,"2915 Adams St. NE","Washington","DC","District of Columbia","Residential","2017-05-03T00:00:00.000Z","Morning","2017-05-04T00:00:00.000Z","Afternoon","Culex","pipiens","Adult","No","No","No",23,0,0,"2017-09-12T15:18:00.000Z"
"12",101,"Gravid Trap","Hay or grass infusion","6A",38.888979,-77.00092,"326 A St. SE","Washington","DC","District of Columbia","Residential","2017-05-03T00:00:00.000Z","Morning","2017-05-04T00:00:00.000Z","Afternoon","Culex","pipiens","Adult","No","No","No",12,11,0,"2017-09-12T15:17:00.000Z"
"14",103,"Gravid Trap","Hay or grass infusion","6B",38.898014,-76.979273,"1701 Gales St. NE","Washington","DC","District of Columbia","Urban Public Place","2017-05-03T00:00:00.000Z","Morning","2017-05-04T00:00:00.000Z","Afternoon","Culex","pipiens","Adult","No","No","No",8,5,0,"2017-09-12T15:16:00.000Z"
"15",104,"Gravid Trap","Hay or grass infusion","7A",38.906416,-76.948519,"4052 Deane Ave. NE","Washington","DC","District of Columbia","Urban Public Place","2017-05-03T00:00:00.000Z","Afternoon","2017-05-04T00:00:00.000Z","Afternoon","Culex","pipiens","Adult","No","No","No",4,1,0,"2017-09-12T15:15:00.000Z"
